Название,Категория
"Стоимость организации услуг, в т.ч. НДС",Прочее
Тональная аудиометрия с тестом Вебера,Инструментальная диагностика
Тимпанометрия,Инструментальная диагностика
Офтальмотонометрия,Инструментальная диагностика
Офтальмохромоскопия,Инструментальная диагностика
Компьютерная периметрия,Инструментальная диагностика
Биомикроскопия глазного дна (с использованием щелевой лампы),Инструментальная диагностика
Измерение скорости потока мочи (урофлоуметрия),Инструментальная диагностика
Измерение скорости потока мочи (урофлоуметрия),Манипуляция
Дуплексное сканирование артерий нижних конечностей,Инструментальная диагностика
Эхокардиография,Инструментальная диагностика
Биомикроскпия переднего отрезка глаза,Инструментальная диагностика
Жиро- и водорастворимые витамины,Прочее
Кардио чекап,Прочее
Чекап Нутрициология,Прочее
Эндоскопическое исследование ЛОР-органов,Инструментальная диагностика
Прицельная рентгенография зуба,Инструментальная диагностика
Консультация психолога  высшей категории дистанционно,Консультация специалиста
Биопсия шейки матки радиоволновая,Инструментальная диагностика
Осмотр кожи под увеличением (дерматоскопия) (1 зона),Инструментальная диагностика
Люминесцентная диагностика (осмотр под лампой Вуда) (1 зона),Инструментальная диагностика
"Прием (осмотр, консультация) врача-сомнолога.",Консультация специалиста
Томосинтез молочных желез,Инструментальная диагностика
Внутрипищеводная pH-метрия суточная,Инструментальная диагностика
Ультразвуковое исследование околоносовых пазух (двустороннее) (портативным аппаратом),Инструментальная диагностика
Ультразвуковое исследование околоносовых пазух (двустороннее),Инструментальная диагностика
"Офтальмоскопия (прямая, под мидриазом)",Инструментальная диагностика
Ультразвуковое исследование глазного яблока (эхография) (одностороннее),Инструментальная диагностика
Скиаскопия,Инструментальная диагностика
Эластотонометрия,Инструментальная диагностика
Нагрузочно-разгрузовные пробы для исследования регуляции внутриглазного давления,Инструментальная диагностика
Гониоскопия,Инструментальная диагностика
Тонография (электронная),Инструментальная диагностика
Флюоресцентная ангиография глаза (1 глаз),Инструментальная диагностика
Офтальмоскопия (с линзой Гольдмана),Инструментальная диагностика
Измерение угла косоглазия,Инструментальная диагностика
Исследование аккомодации,Инструментальная диагностика
Рефрактометрия (определение рефракции с помощью набора пробных линз),Инструментальная диагностика
Исследование конвергенции,Инструментальная диагностика
"Определение характера зрения, гетерофории (исследование бинокулярного зрения)",Инструментальная диагностика
Офтальмометрия (компьютерная кератометрия),Инструментальная диагностика
Регистрация электроретинограммы (ЭРГ),Инструментальная диагностика
Регистрация зрительных вызванных потенциалов коры головного мозга,Инструментальная диагностика
Биомикрофотография глазного дна с использованием фундус-камеры,Инструментальная диагностика
Авторефрактометрия (компьютерная),Инструментальная диагностика
Оптическое исследование сетчатки с помощью компьютерного анализатора (оптическая когерентная томография) (1 глаз),Инструментальная диагностика
Коронарография,Инструментальная диагностика
Коронарошунтография,Инструментальная диагностика
Рентгеноконтрастное исследование камер сердца (вентрикулография и пр.),Инструментальная диагностика
Аортография,Инструментальная диагностика
Ангиография артерий нижних конечностей,Инструментальная диагностика
Ангиография артерий верхних конечностей (одна/обе конечности),Инструментальная диагностика
"Ангиография сонных, церебральных артерий",Инструментальная диагностика
Ангиография сосудов органов брюшной полости,Инструментальная диагностика
Ангиография центральных и периферических вен,Инструментальная диагностика
Ангиография легочной артерии и ее ветвей,Инструментальная диагностика
Измерение фракционного резерва коронарного кровотока,Инструментальная диагностика
Внутрисосудистое ультразвуковое исследование коронарной артерии,Инструментальная диагностика
